supplier_name,unit_price,currency,lead_time_days,payment_terms,remarks
Acme Metals,12.75,USD,14,Net 30,Includes shipping
Global Steel,11.50,USD,21,Net 45,FOB origin
Pacific Supplies,13.20,USD,7,COD,Express delivery available
Titan Industrial,10.90,USD,28,Net 60,Bulk discount applied
Nordic Materials,14.50,EUR,18,Net 30,DDP Incoterms
Apex Alloys,11.10,USD,10,Net 30,Price valid 30 days
Ironclad Traders,12.00,USD,14,Net 45,Includes insurance
SteelWorks Co,10.75,USD,35,Net 60,FOB warehouse
Eastgate Supply,13.80,USD,5,COD,Same-week dispatch available
Meridian Metals,11.95,USD,21,Net 30,
Summit Fabricators,15.20,USD,7,Net 15,Premium grade material
Harbourview Steel,10.50,USD,42,Net 90,Requires 50% upfront
CrestLine Inc,12.40,USD,12,Net 30,Surface treated
Delta Procurement,11.75,USD,20,Net 45,Regional distributor
Orion Resources,13.50,EUR,16,Net 30,Ex-works pricing
BlueRidge Supply,12.10,USD,9,COD,
Fortis Materials,10.20,USD,30,Net 60,Minimum order 200 units
Pinnacle Metals,14.00,USD,11,Net 30,Certified ISO 9001
Vanguard Steel,11.30,USD,25,Net 45,FOB port of origin
Coastline Trading,12.85,USD,8,Net 30,Includes customs clearance
Redwood Alloys,13.10,USD,15,Net 30,Anti-corrosion coated
